PassengerId,fSex,fEmbarked,Pclass,Age,SibSp,Parch,Fare,Survived,name_title,name_word_length,name_char_length,cabin_first_letter,ticket_category
1,male,S,3,22,1,0,7.25,0,Mr.,3,16,n,A/5
1,male,S,3,22,1,0,7.25,0,Mr.,3,16,n,A/5
2,female,C,1,38,1,0,71.2833,1,Mrs.,4,18,C,PC
2,female,C,1,38,1,0,71.2833,1,Mrs.,4,18,C,PC
3,female,S,3,26,0,0,7.925,1,Miss.,2,14,n,STON/O2
3,female,S,3,26,0,0,7.925,1,Miss.,2,14,n,STON/O2
4,female,S,1,35,1,0,53.1,1,Mrs.,4,20,C,digit
4,female,S,1,35,1,0,53.1,1,Mrs.,4,20,C,digit
5,male,S,3,35,0,0,8.05,0,Mr.,3,17,n,digit
5,male,S,3,35,0,0,8.05,0,Mr.,3,17,n,digit
6,male,Q,3,35,0,0,8.4583,0,Mr.,2,10,n,digit
6,male,Q,3,35,0,0,8.4583,0,Mr.,2,10,n,digit
7,male,S,1,54,0,0,51.8625,0,Mr.,3,16,E,digit
7,male,S,1,54,0,0,51.8625,0,Mr.,3,16,E,digit
8,male,S,3,2,3,1,21.075,0,Master.,3,19,n,digit
8,male,S,3,2,3,1,21.075,0,Master.,3,19,n,digit
9,female,S,3,27,0,2,11.1333,1,Mrs.,4,13,n,digit
9,female,S,3,27,0,2,11.1333,1,Mrs.,4,13,n,digit
10,female,C,2,14,1,0,30.0708,1,Mrs.,3,14,n,digit
10,female,C,2,14,1,0,30.0708,1,Mrs.,3,14,n,digit
11,female,S,3,4,1,1,16.7,1,Miss.,3,22,o,other
11,female,S,3,4,1,1,16.7,1,Miss.,3,22,o,other
12,female,S,1,58,0,0,26.55,1,Miss.,2,16,C,digit
12,female,S,1,58,0,0,26.55,1,Miss.,2,16,C,digit
13,male,S,3,20,0,0,8.05,0,Mr.,3,23,n,A/5
13,male,S,3,20,0,0,8.05,0,Mr.,3,23,n,A/5
14,male,S,3,39,1,5,31.275,0,Mr.,3,20,n,digit
14,male,S,3,39,1,5,31.275,0,Mr.,3,20,n,digit
15,female,S,3,14,0,0,7.8542,0,Miss.,4,26,n,digit
15,female,S,3,14,0,0,7.8542,0,Miss.,4,26,n,digit
16,female,S,2,55,0,0,16,1,Mrs.,3,7,n,digit
16,female,S,2,55,0,0,16,1,Mrs.,3,7,n,digit
17,male,Q,3,2,4,1,29.125,0,Master.,2,10,n,digit
17,male,Q,3,2,4,1,29.125,0,Master.,2,10,n,digit
18,male,S,2,29,0,0,13,1,Mr.,3,21,n,digit
18,male,S,2,35,0,0,13,1,Mr.,3,21,n,digit
19,female,S,3,31,1,0,18,0,Mrs.,4,18,n,digit
19,female,S,3,31,1,0,18,0,Mrs.,4,18,n,digit
20,female,C,3,18,0,0,7.225,1,Mrs.,2,16,n,digit
20,female,C,3,1,0,0,7.225,1,Mrs.,2,16,n,digit
21,male,S,2,35,0,0,26,0,Mr.,3,13,n,digit
21,male,S,2,35,0,0,26,0,Mr.,3,13,n,digit
22,male,S,2,34,0,0,13,1,Mr.,2,15,D,digit
22,male,S,2,34,0,0,13,1,Mr.,2,15,D,digit
23,female,Q,3,15,0,0,8.0292,1,Miss.,3,18,n,digit
23,female,Q,3,15,0,0,8.0292,1,Miss.,3,18,n,digit
24,male,S,1,28,0,0,35.5,1,Mr.,3,21,o,digit
24,male,S,1,28,0,0,35.5,1,Mr.,3,21,o,digit
25,female,S,3,8,3,1,21.075,0,Miss.,3,20,n,digit
25,female,S,3,8,3,1,21.075,0,Miss.,3,20,n,digit
26,female,S,3,38,1,5,31.3875,1,Mrs.,4,16,n,digit
26,female,S,3,38,1,5,31.3875,1,Mrs.,4,16,n,digit
27,male,C,3,45,0,0,7.225,0,Mr.,3,16,n,digit
27,male,C,3,45,0,0,7.225,0,Mr.,3,16,n,digit
28,male,S,1,19,3,2,263,0,Mr.,3,23,C,digit
28,male,S,1,19,3,2,263,0,Mr.,3,23,C,digit
29,female,Q,3,34,0,0,7.8792,1,Miss.,3,20,n,digit
29,female,Q,3,0.67,0,0,7.8792,1,Miss.,3,20,n,digit
30,male,S,3,24,0,0,7.8958,0,Mr.,2,13,n,digit
30,male,S,3,21,0,0,7.8958,0,Mr.,2,13,n,digit
31,male,C,1,40,0,0,27.7208,0,Nobility,3,16,n,PC
31,male,C,1,40,0,0,27.7208,0,Nobility,3,16,n,PC
32,female,C,1,38,1,0,146.5208,1,Mrs.,4,22,B,PC
32,female,C,1,35,1,0,146.5208,1,Mrs.,4,22,B,PC
33,female,Q,3,34,0,0,7.75,1,Miss.,3,15,n,digit
33,female,Q,3,34,0,0,7.75,1,Miss.,3,15,n,digit
34,male,S,2,66,0,0,10.5,0,Mr.,3,14,n,CA
34,male,S,2,66,0,0,10.5,0,Mr.,3,14,n,CA
35,male,C,1,28,1,0,82.1708,0,Mr.,3,16,n,PC
35,male,C,1,28,1,0,82.1708,0,Mr.,3,16,n,PC
36,male,S,1,42,1,0,52,0,Mr.,3,23,n,digit
36,male,S,1,42,1,0,52,0,Mr.,3,23,n,digit
37,male,C,3,26,0,0,7.2292,1,Mr.,2,10,n,digit
37,male,C,3,9,0,0,7.2292,1,Mr.,2,10,n,digit
38,male,S,3,21,0,0,8.05,0,Mr.,3,17,n,A/5
38,male,S,3,21,0,0,8.05,0,Mr.,3,17,n,A/5
39,female,S,3,18,2,0,18,0,Miss.,4,24,n,digit
39,female,S,3,18,2,0,18,0,Miss.,4,24,n,digit
40,female,C,3,14,1,0,11.2417,1,Miss.,2,19,n,digit
40,female,C,3,14,1,0,11.2417,1,Miss.,2,19,n,digit
41,female,S,3,40,1,0,9.475,0,Mrs.,3,10,n,digit
41,female,S,3,40,1,0,9.475,0,Mrs.,3,10,n,digit
42,female,S,2,27,1,0,21,0,Mrs.,5,23,n,digit
42,female,S,2,27,1,0,21,0,Mrs.,5,23,n,digit
43,male,C,3,45,0,0,7.8958,0,Mr.,2,13,n,digit
43,male,C,3,45,0,0,7.8958,0,Mr.,2,13,n,digit
44,female,C,2,3,1,2,41.5792,1,Miss.,5,29,n,SC/Paris
44,female,C,2,3,1,2,41.5792,1,Miss.,5,29,n,SC/Paris
45,female,Q,3,19,0,0,7.8792,1,Miss.,3,20,n,digit
45,female,Q,3,19,0,0,7.8792,1,Miss.,3,20,n,digit
46,male,S,3,32,0,0,8.05,0,Mr.,3,17,n,other
46,male,S,3,32,0,0,8.05,0,Mr.,3,17,n,other
47,male,Q,3,32,1,0,15.5,0,Mr.,2,11,n,digit
47,male,Q,3,32,1,0,15.5,0,Mr.,2,11,n,digit
48,female,Q,3,25,0,0,7.75,1,Miss.,2,17,n,digit
48,female,Q,3,34,0,0,7.75,1,Miss.,2,17,n,digit
49,male,C,3,24,2,0,21.6792,0,Mr.,2,13,n,digit
49,male,C,3,20,2,0,21.6792,0,Mr.,2,13,n,digit
50,female,S,3,18,1,0,17.8,0,Mrs.,3,19,n,digit
50,female,S,3,18,1,0,17.8,0,Mrs.,3,19,n,digit
51,male,S,3,7,4,1,39.6875,0,Master.,3,15,n,digit
51,male,S,3,7,4,1,39.6875,0,Master.,3,15,n,digit
52,male,S,3,21,0,0,7.8,0,Mr.,3,21,n,A/4
52,male,S,3,21,0,0,7.8,0,Mr.,3,21,n,A/4
53,female,C,1,49,1,0,76.7292,1,Mrs.,4,18,D,PC
53,female,C,1,49,1,0,76.7292,1,Mrs.,4,18,D,PC
54,female,S,2,29,1,0,26,1,Mrs.,3,16,n,digit
54,female,S,2,29,1,0,26,1,Mrs.,3,16,n,digit
55,male,C,1,65,0,1,61.9792,0,Mr.,3,23,B,digit
55,male,C,1,65,0,1,61.9792,0,Mr.,3,23,B,digit
56,male,S,1,27,0,0,35.5,1,Mr.,2,11,C,digit
56,male,S,1,52,0,0,35.5,1,Mr.,2,11,C,digit
57,female,S,2,21,0,0,10.5,1,Miss.,2,9,n,CA
57,female,S,2,21,0,0,10.5,1,Miss.,2,9,n,CA
58,male,C,3,28.5,0,0,7.2292,0,Mr.,2,13,n,digit
